source,retrieved_at,ranking_scope,ranking_year,rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_international_outlook,scores_international_outlook_rank,scores_industry_income,scores_industry_income_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,iid,record_type,member_level,url,nid,location,aliases,subjects_offered,closed,unaccredited,disabled
times,2026-07-19T10:13:58+00:00,overall,2013,1,1,California Institute of Technology,95.5,1,96.3,1,59.8,145,95.6,29,99.4,1,99.7,6,i-20537945,private,0,/world-university-rankings/california-institute-technology,128779,United States,California Institute of Technology caltech,"Biological Sciences,History, Philosophy & Theology,Mathematics & Statistics,Languages, Literature & Linguistics,Economics & Econometrics,General Engineering,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Chemistry,Chemical Engineering,Computer Science,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Business & Management,Physics & Astronomy,Civil Engineering",False,False,False
times,2026-07-19T10:13:58+00:00,overall,2013,2,2,Stanford University,93.7,2,95.0,2,56.6,170,62.4,88,98.8,4,99.3,8,i-35756672,private,0,/world-university-rankings/stanford-university,467,United States,Stanford University,"Civil Engineering,Politics & International Studies (incl Development Studies),General Engineering,Sociology,Other Health,Computer Science,Chemical Engineering,Mathematics & Statistics,Art, Performing Arts & Design,Biological Sciences,Mechanical & Aerospace Engineering,Business & Management,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Veterinary Science,History, Philosophy & Theology,Electrical & Electronic Engineering,Psychology,Accounting & Finance,Agriculture & Forestry,Archaeology,Education,Languages, Literature & Linguistics,Communication & Media Studies,Physics & Astronomy,Law,Economics & Econometrics,Chemistry",False,False,False
times,2026-07-19T10:13:58+00:00,overall,2013,2,2,University of Oxford,93.7,3,89.7,9,88.7,13,79.8,46,98.1,6,95.6,23,i-92611101,master_account,0,/world-university-rankings/university-oxford,468,United Kingdom,University of Oxford,"Computer Science,Languages, Literature & Linguistics,Mathematics & Statistics,Economics & Econometrics,Law,Accounting & Finance,Chemical Engineering,Archaeology,Communication & Media Studies,Civil Engineering,Education,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Psychology,Biological Sciences,Geography,Politics & International Studies (incl Development Studies),Other Health,General Engineering,Business & Management,Chemistry,Medicine & Dentistry,Art, Performing Arts & Design,Electrical & Electronic Engineering,Physics & Astronomy,History, Philosophy & Theology,Sociology",False,False,False
times,2026-07-19T10:13:58+00:00,overall,2013,4,4,Harvard University,93.6,4,94.9,3,63.7,128,39.9,212,98.6,5,99.2,10,i-48698023,private,0,/world-university-rankings/harvard-university,466,United States,Harvard University,"Archaeology,Mathematics & Statistics,Art, Performing Arts & Design,Psychology,Other Health,Chemistry,Economics & Econometrics,Biological Sciences,Accounting & Finance,Physics & Astronomy,Medicine & Dentistry,Communication & Media Studies,Civil Engineering,Mechanical & Aerospace Engineering,Law,History, Philosophy & Theology,Geography,Education,Computer Science,General Engineering,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Business & Management,Architecture,Sociology,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Agriculture & Forestry",False,False,False
times,2026-07-19T10:13:58+00:00,overall,2013,5,5,Massachusetts Institute of Technology,93.1,5,92.9,5,81.6,46,92.9,32,89.2,18,99.9,3,i-68334672,private,0,/world-university-rankings/massachusetts-institute-technology,471,United States,Massachusetts Institute of Technology,"Biological Sciences,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Economics & Econometrics,Psychology,Art, Performing Arts & Design,Physics & Astronomy,Mechanical & Aerospace Engineering,Sociology,Communication & Media Studies,Mathematics & Statistics,Architecture,General Engineering,Civil Engineering,Chemical Engineering,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Archaeology,Other Health,Chemistry,Politics & International Studies (incl Development Studies),Computer Science,Business & Management",False,False,False
times,2026-07-19T10:13:58+00:00,overall,2013,6,6,Princeton University,92.7,6,89.5,11,54.5,184,79.5,48,99.4,2,99.8,5,i-20795402,private,0,/world-university-rankings/princeton-university,469,United States,Princeton University,"Chemistry,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Sociology,Chemical Engineering,Economics & Econometrics,General Engineering,Geology, Environmental, Earth & Marine Sciences,Computer Science,Mathematics & Statistics,Other Health,Biological Sciences,History, Philosophy & Theology,Agriculture & Forestry,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Physics & Astronomy,Architecture,Civil Engineering,Psychology",False,False,False
times,2026-07-19T10:13:58+00:00,overall,2013,7,7,University of Cambridge,92.6,7,91.2,6,83.6,37,59.1,95,95.6,7,96.2,19,i-67516113,master_account,0,/world-university-rankings/university-cambridge,470,United Kingdom,University of Cambridge,"History, Philosophy & Theology,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Law,Electrical & Electronic Engineering,Architecture,Psychology,Veterinary Science,Politics & International Studies (incl Development Studies),Physics & Astronomy,General Engineering,Archaeology,Medicine & Dentistry,Chemistry,Mechanical & Aerospace Engineering,Geography,Economics & Econometrics,Languages, Literature & Linguistics,Computer Science,Mathematics & Statistics,Civil Engineering,Sociology,Business & Management,Chemical Engineering,Art, Performing Arts & Design,Education",False,False,False
times,2026-07-19T10:13:58+00:00,overall,2013,8,8,Imperial College London,90.6,8,88.0,12,91.4,6,87.5,34,90.9,14,93.0,35,i-67704114,master_account,0,/world-university-rankings/imperial-college-london,472,United Kingdom,Imperial College London,"Computer Science,Business & Management,Chemical Engineering,Accounting & Finance,Chemistry,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,General Engineering,Electrical & Electronic Engineering,Physics & Astronomy,Medicine & Dentistry,Mechanical & Aerospace Engineering,Other Health,Mathematics & Statistics,Biological Sciences,Civil Engineering",False,False,False
times,2026-07-19T10:13:58+00:00,overall,2013,9,9,"University of California, Berkeley",90.5,9,85.1,15,49.7,215,65.4,78,99.3,3,99.3,9,i-50018853,public,0,/world-university-rankings/university-california-berkeley,474,United States,"University of California, Berkeley","Languages, Literature & Linguistics,Civil Engineering,Politics & International Studies (incl Development Studies),Agriculture & Forestry,Art, Performing Arts & Design,Geography,General Engineering,Chemical Engineering,Physics & Astronomy,Economics & Econometrics,Biological Sciences,Electrical & Electronic Engineering,Computer Science,Education,Other Health,Geology, Environmental, Earth & Marine Sciences,Sociology,History, Philosophy & Theology,Chemistry,Law,Psychology,Business & Management,Architecture,Mathematics & Statistics,Mechanical & Aerospace Engineering,Communication & Media Studies,Archaeology",False,False,False
times,2026-07-19T10:13:58+00:00,overall,2013,10,10,The University of Chicago,90.4,10,89.6,10,55.3,178,-,387,92.9,9,98.7,12,i-33619812,private,0,/world-university-rankings/university-chicago,473,United States,The University of Chicago,"Accounting & Finance,Medicine & Dentistry,History, Philosophy & Theology,Psychology,Law,Archaeology,Physics & Astronomy,Languages, Literature & Linguistics,Chemistry,Politics & International Studies (incl Development Studies),Economics & Econometrics,Business & Management,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Biological Sciences,Chemical Engineering,Art, Performing Arts & Design,Sociology,Computer Science",False,False,False
