source,retrieved_at,ranking_scope,ranking_year,score_nid,nid,advanced_profile,core_id,title,path,region,country,city,overall_score,rank_display,rank,stars,dagger,redact,isShortlisted,scores
qs,2026-07-19T07:03:05+00:00,overall,2027,4155277,294850,0,410,Massachusetts Institute of Technology (MIT),/universities/massachusetts-institute-technology-mit,North America,United States,Cambridge,100,1,1,,False,False,0,"{""Research & Discovery"": [{""indicator_id"": ""73"", ""indicator_name"": ""Citations per Faculty"", ""rank"": ""14"", ""score"": ""100""}, {""indicator_id"": ""76"", ""indicator_name"": ""Academic Reputation"", ""rank"": ""4"", ""score"": ""100""}], ""Learning Experience"": [{""indicator_id"": ""36"", ""indicator_name"": ""Faculty Student Ratio"", ""rank"": ""17"", ""score"": ""100""}], ""Employability"": [{""indicator_id"": ""77"", ""indicator_name"": ""Employer Reputation"", ""rank"": ""2"", ""score"": ""100""}, {""indicator_id"": ""3819456"", ""indicator_name"": ""Employment Outcomes"", ""rank"": ""4"", ""score"": ""100""}], ""Global Engagement"": [{""indicator_id"": ""14"", ""indicator_name"": ""International Student Ratio"", ""rank"": ""170"", ""score"": ""91.1""}, {""indicator_id"": ""15"", ""indicator_name"": ""International Research Network"", ""rank"": ""105"", ""score"": ""94.4""}, {""indicator_id"": ""18"", ""indicator_name"": ""International Faculty Ratio"", ""rank"": ""65"", ""score"": ""100""}], ""Sustainability"": [{""indicator_id"": ""3897497"", ""indicator_name"": ""Sustainability Score"", ""rank"": ""=43"", ""score"": ""93.2""}]}"
qs,2026-07-19T07:03:05+00:00,overall,2027,4155295,294030,1,356,Imperial College London,/universities/imperial-college-london,Europe,United Kingdom,London,99.2,=2,2,,False,False,0,"{""Research & Discovery"": [{""indicator_id"": ""73"", ""indicator_name"": ""Citations per Faculty"", ""rank"": ""81"", ""score"": ""93.8""}, {""indicator_id"": ""76"", ""indicator_name"": ""Academic Reputation"", ""rank"": ""22"", ""score"": ""99.6""}], ""Learning Experience"": [{""indicator_id"": ""36"", ""indicator_name"": ""Faculty Student Ratio"", ""rank"": ""44"", ""score"": ""98.9""}], ""Employability"": [{""indicator_id"": ""77"", ""indicator_name"": ""Employer Reputation"", ""rank"": ""9"", ""score"": ""100""}, {""indicator_id"": ""3819456"", ""indicator_name"": ""Employment Outcomes"", ""rank"": ""57"", ""score"": ""96.4""}], ""Global Engagement"": [{""indicator_id"": ""14"", ""indicator_name"": ""International Student Ratio"", ""rank"": ""44"", ""score"": ""100""}, {""indicator_id"": ""15"", ""indicator_name"": ""International Research Network"", ""rank"": ""16"", ""score"": ""98.8""}, {""indicator_id"": ""18"", ""indicator_name"": ""International Faculty Ratio"", ""rank"": ""86"", ""score"": ""100""}], ""Sustainability"": [{""indicator_id"": ""3897497"", ""indicator_name"": ""Sustainability Score"", ""rank"": ""=7"", ""score"": ""98""}]}"
qs,2026-07-19T07:03:05+00:00,overall,2027,4155278,297282,0,573,Stanford University,/universities/stanford-university,North America,United States,Stanford,99.2,=2,3,,False,False,0,"{""Research & Discovery"": [{""indicator_id"": ""73"", ""indicator_name"": ""Citations per Faculty"", ""rank"": ""39"", ""score"": ""98.8""}, {""indicator_id"": ""76"", ""indicator_name"": ""Academic Reputation"", ""rank"": ""5"", ""score"": ""100""}], ""Learning Experience"": [{""indicator_id"": ""36"", ""indicator_name"": ""Faculty Student Ratio"", ""rank"": ""13"", ""score"": ""100""}], ""Employability"": [{""indicator_id"": ""77"", ""indicator_name"": ""Employer Reputation"", ""rank"": ""3"", ""score"": ""100""}, {""indicator_id"": ""3819456"", ""indicator_name"": ""Employment Outcomes"", ""rank"": ""2"", ""score"": ""100""}], ""Global Engagement"": [{""indicator_id"": ""14"", ""indicator_name"": ""International Student Ratio"", ""rank"": ""258"", ""score"": ""75.1""}, {""indicator_id"": ""15"", ""indicator_name"": ""International Research Network"", ""rank"": ""50"", ""score"": ""96.8""}, {""indicator_id"": ""18"", ""indicator_name"": ""International Faculty Ratio"", ""rank"": ""147"", ""score"": ""97.9""}], ""Sustainability"": [{""indicator_id"": ""3897497"", ""indicator_name"": ""Sustainability Score"", ""rank"": ""14"", ""score"": ""97.6""}]}"
qs,2026-07-19T07:03:05+00:00,overall,2027,4155275,294654,0,478,University of Oxford,/universities/university-oxford,Europe,United Kingdom,Oxford,98.6,4,4,,False,False,0,"{""Research & Discovery"": [{""indicator_id"": ""73"", ""indicator_name"": ""Citations per Faculty"", ""rank"": ""113"", ""score"": ""89""}, {""indicator_id"": ""76"", ""indicator_name"": ""Academic Reputation"", ""rank"": ""2"", ""score"": ""100""}], ""Learning Experience"": [{""indicator_id"": ""36"", ""indicator_name"": ""Faculty Student Ratio"", ""rank"": ""8"", ""score"": ""100""}], ""Employability"": [{""indicator_id"": ""77"", ""indicator_name"": ""Employer Reputation"", ""rank"": ""4"", ""score"": ""100""}, {""indicator_id"": ""3819456"", ""indicator_name"": ""Employment Outcomes"", ""rank"": ""3"", ""score"": ""100""}], ""Global Engagement"": [{""indicator_id"": ""14"", ""indicator_name"": ""International Student Ratio"", ""rank"": ""87"", ""score"": ""98.6""}, {""indicator_id"": ""15"", ""indicator_name"": ""International Research Network"", ""rank"": ""1"", ""score"": ""100""}, {""indicator_id"": ""18"", ""indicator_name"": ""International Faculty Ratio"", ""rank"": ""138"", ""score"": ""98.7""}], ""Sustainability"": [{""indicator_id"": ""3897497"", ""indicator_name"": ""Sustainability Score"", ""rank"": ""15"", ""score"": ""97.4""}]}"
qs,2026-07-19T07:03:05+00:00,overall,2027,4155274,294270,0,253,Harvard University,/universities/harvard-university,North America,United States,Cambridge,97.4,5,5,,False,False,0,"{""Research & Discovery"": [{""indicator_id"": ""73"", ""indicator_name"": ""Citations per Faculty"", ""rank"": ""1"", ""score"": ""100""}, {""indicator_id"": ""76"", ""indicator_name"": ""Academic Reputation"", ""rank"": ""1"", ""score"": ""100""}], ""Learning Experience"": [{""indicator_id"": ""36"", ""indicator_name"": ""Faculty Student Ratio"", ""rank"": ""57"", ""score"": ""97.4""}], ""Employability"": [{""indicator_id"": ""77"", ""indicator_name"": ""Employer Reputation"", ""rank"": ""1"", ""score"": ""100""}, {""indicator_id"": ""3819456"", ""indicator_name"": ""Employment Outcomes"", ""rank"": ""1"", ""score"": ""100""}], ""Global Engagement"": [{""indicator_id"": ""14"", ""indicator_name"": ""International Student Ratio"", ""rank"": ""271"", ""score"": ""73.2""}, {""indicator_id"": ""15"", ""indicator_name"": ""International Research Network"", ""rank"": ""8"", ""score"": ""99.5""}, {""indicator_id"": ""18"", ""indicator_name"": ""International Faculty Ratio"", ""rank"": ""267"", ""score"": ""86.1""}], ""Sustainability"": [{""indicator_id"": ""3897497"", ""indicator_name"": ""Sustainability Score"", ""rank"": ""=285"", ""score"": ""75.6""}]}"
qs,2026-07-19T07:03:05+00:00,overall,2027,4155276,294561,0,95,University of Cambridge,/universities/university-cambridge,Europe,United Kingdom,Cambridge,97.1,6,6,,False,False,0,"{""Research & Discovery"": [{""indicator_id"": ""73"", ""indicator_name"": ""Citations per Faculty"", ""rank"": ""121"", ""score"": ""87.4""}, {""indicator_id"": ""76"", ""indicator_name"": ""Academic Reputation"", ""rank"": ""3"", ""score"": ""100""}], ""Learning Experience"": [{""indicator_id"": ""36"", ""indicator_name"": ""Faculty Student Ratio"", ""rank"": ""19"", ""score"": ""100""}], ""Employability"": [{""indicator_id"": ""77"", ""indicator_name"": ""Employer Reputation"", ""rank"": ""5"", ""score"": ""100""}, {""indicator_id"": ""3819456"", ""indicator_name"": ""Employment Outcomes"", ""rank"": ""6"", ""score"": ""100""}], ""Global Engagement"": [{""indicator_id"": ""14"", ""indicator_name"": ""International Student Ratio"", ""rank"": ""125"", ""score"": ""96.3""}, {""indicator_id"": ""15"", ""indicator_name"": ""International Research Network"", ""rank"": ""6"", ""score"": ""99.6""}, {""indicator_id"": ""18"", ""indicator_name"": ""International Faculty Ratio"", ""rank"": ""91"", ""score"": ""100""}], ""Sustainability"": [{""indicator_id"": ""3897497"", ""indicator_name"": ""Sustainability Score"", ""rank"": ""=264"", ""score"": ""77""}]}"
qs,2026-07-19T07:03:05+00:00,overall,2027,4155314,294562,0,94,California Institute of Technology (Caltech),/universities/california-institute-technology-caltech,North America,United States,Pasadena,96.6,7,7,,False,False,0,"{""Research & Discovery"": [{""indicator_id"": ""73"", ""indicator_name"": ""Citations per Faculty"", ""rank"": ""4"", ""score"": ""100""}, {""indicator_id"": ""76"", ""indicator_name"": ""Academic Reputation"", ""rank"": ""41"", ""score"": ""97.4""}], ""Learning Experience"": [{""indicator_id"": ""36"", ""indicator_name"": ""Faculty Student Ratio"", ""rank"": ""3"", ""score"": ""100""}], ""Employability"": [{""indicator_id"": ""77"", ""indicator_name"": ""Employer Reputation"", ""rank"": ""18"", ""score"": ""99.6""}, {""indicator_id"": ""3819456"", ""indicator_name"": ""Employment Outcomes"", ""rank"": ""64"", ""score"": ""95.4""}], ""Global Engagement"": [{""indicator_id"": ""14"", ""indicator_name"": ""International Student Ratio"", ""rank"": ""160"", ""score"": ""92.2""}, {""indicator_id"": ""15"", ""indicator_name"": ""International Research Network"", ""rank"": ""683"", ""score"": ""64.1""}, {""indicator_id"": ""18"", ""indicator_name"": ""International Faculty Ratio"", ""rank"": ""76"", ""score"": ""100""}], ""Sustainability"": [{""indicator_id"": ""3897497"", ""indicator_name"": ""Sustainability Score"", ""rank"": ""=264"", ""score"": ""77""}]}"
qs,2026-07-19T07:03:05+00:00,overall,2027,4155290,294432,0,201,ETH Zurich,/universities/eth-zurich,Europe,Switzerland,Zürich,96.3,=8,8,,False,False,0,"{""Research & Discovery"": [{""indicator_id"": ""73"", ""indicator_name"": ""Citations per Faculty"", ""rank"": ""41"", ""score"": ""98.8""}, {""indicator_id"": ""76"", ""indicator_name"": ""Academic Reputation"", ""rank"": ""17"", ""score"": ""99.8""}], ""Learning Experience"": [{""indicator_id"": ""36"", ""indicator_name"": ""Faculty Student Ratio"", ""rank"": ""265"", ""score"": ""65""}], ""Employability"": [{""indicator_id"": ""77"", ""indicator_name"": ""Employer Reputation"", ""rank"": ""33"", ""score"": ""97.7""}, {""indicator_id"": ""3819456"", ""indicator_name"": ""Employment Outcomes"", ""rank"": ""66"", ""score"": ""95.2""}], ""Global Engagement"": [{""indicator_id"": ""14"", ""indicator_name"": ""International Student Ratio"", ""rank"": ""75"", ""score"": ""99.5""}, {""indicator_id"": ""15"", ""indicator_name"": ""International Research Network"", ""rank"": ""53"", ""score"": ""96.7""}, {""indicator_id"": ""18"", ""indicator_name"": ""International Faculty Ratio"", ""rank"": ""29"", ""score"": ""100""}], ""Sustainability"": [{""indicator_id"": ""3897497"", ""indicator_name"": ""Sustainability Score"", ""rank"": ""=11"", ""score"": ""97.7""}]}"
qs,2026-07-19T07:03:05+00:00,overall,2027,4155287,294014,1,365,UCL,/universities/ucl,Europe,United Kingdom,London,96.3,=8,9,,False,False,0,"{""Research & Discovery"": [{""indicator_id"": ""73"", ""indicator_name"": ""Citations per Faculty"", ""rank"": ""125"", ""score"": ""86.1""}, {""indicator_id"": ""76"", ""indicator_name"": ""Academic Reputation"", ""rank"": ""14"", ""score"": ""99.9""}], ""Learning Experience"": [{""indicator_id"": ""36"", ""indicator_name"": ""Faculty Student Ratio"", ""rank"": ""107"", ""score"": ""90.3""}], ""Employability"": [{""indicator_id"": ""77"", ""indicator_name"": ""Employer Reputation"", ""rank"": ""15"", ""score"": ""99.7""}, {""indicator_id"": ""3819456"", ""indicator_name"": ""Employment Outcomes"", ""rank"": ""126"", ""score"": ""85.6""}], ""Global Engagement"": [{""indicator_id"": ""14"", ""indicator_name"": ""International Student Ratio"", ""rank"": ""24"", ""score"": ""100""}, {""indicator_id"": ""15"", ""indicator_name"": ""International Research Network"", ""rank"": ""2"", ""score"": ""99.9""}, {""indicator_id"": ""18"", ""indicator_name"": ""International Faculty Ratio"", ""rank"": ""124"", ""score"": ""99.3""}], ""Sustainability"": [{""indicator_id"": ""3897497"", ""indicator_name"": ""Sustainability Score"", ""rank"": ""3"", ""score"": ""98.9""}]}"
qs,2026-07-19T07:03:05+00:00,overall,2027,4155285,294798,1,443,National University of Singapore (NUS),/universities/national-university-singapore-nus,Asia,Singapore,Singapore,96.2,10,10,,False,False,0,"{""Research & Discovery"": [{""indicator_id"": ""73"", ""indicator_name"": ""Citations per Faculty"", ""rank"": ""83"", ""score"": ""93.5""}, {""indicator_id"": ""76"", ""indicator_name"": ""Academic Reputation"", ""rank"": ""12"", ""score"": ""100""}], ""Learning Experience"": [{""indicator_id"": ""36"", ""indicator_name"": ""Faculty Student Ratio"", ""rank"": ""191"", ""score"": ""75.3""}], ""Employability"": [{""indicator_id"": ""77"", ""indicator_name"": ""Employer Reputation"", ""rank"": ""26"", ""score"": ""99.1""}, {""indicator_id"": ""3819456"", ""indicator_name"": ""Employment Outcomes"", ""rank"": ""9"", ""score"": ""100""}], ""Global Engagement"": [{""indicator_id"": ""14"", ""indicator_name"": ""International Student Ratio"", ""rank"": ""91"", ""score"": ""98.5""}, {""indicator_id"": ""15"", ""indicator_name"": ""International Research Network"", ""rank"": ""141"", ""score"": ""92.5""}, {""indicator_id"": ""18"", ""indicator_name"": ""International Faculty Ratio"", ""rank"": ""45"", ""score"": ""100""}], ""Sustainability"": [{""indicator_id"": ""3897497"", ""indicator_name"": ""Sustainability Score"", ""rank"": ""=69"", ""score"": ""91.6""}]}"
